Filename,Total Lines,TEXT Lines,FORM Lines,TABLE Lines,TEXT Chars,FORM Chars,TABLE Chars,TEXT Avg Len,FORM Avg Len,TABLE Avg Len
document_part_classification_633.xml,14,0,14,0,0,759,0,0.00,54.21,0.00
document_part_classification_634.xml,4,0,4,0,0,262,0,0.00,65.50,0.00
document_part_classification_635.xml,25,9,16,0,3345,1416,0,371.67,88.50,0.00
document_part_classification_636.xml,12,3,9,0,1702,755,0,567.33,83.89,0.00
document_part_classification_637.xml,24,4,20,0,1416,2541,0,354.00,127.05,0.00
document_part_classification_638.xml,12,1,11,0,648,499,0,648.00,45.36,0.00
document_part_classification_639.xml,16,0,16,0,0,376,0,0.00,23.50,0.00
document_part_classification_64.xml,20,1,19,0,374,1812,0,374.00,95.37,0.00
document_part_classification_640.xml,6,0,6,0,0,289,0,0.00,48.17,0.00
document_part_classification_641.xml,3,1,2,0,365,82,0,365.00,41.00,0.00
document_part_classification_642.xml,7,0,7,0,0,458,0,0.00,65.43,0.00
document_part_classification_643.xml,32,8,24,0,3676,1506,0,459.50,62.75,0.00
document_part_classification_644.xml,16,4,3,9,2249,195,303,562.25,65.00,33.67
document_part_classification_645.xml,11,0,11,0,0,672,0,0.00,61.09,0.00
document_part_classification_646.xml,19,3,16,0,1263,1398,0,421.00,87.38,0.00
document_part_classification_647.xml,19,0,19,0,0,1853,0,0.00,97.53,0.00
document_part_classification_648.xml,13,0,13,0,0,434,0,0.00,33.38,0.00
document_part_classification_649.xml,16,1,15,0,581,765,0,581.00,51.00,0.00
document_part_classification_65.xml,10,3,7,0,1323,485,0,441.00,69.29,0.00
document_part_classification_650.xml,33,3,30,0,1291,2355,0,430.33,78.50,0.00
document_part_classification_651.xml,16,2,14,0,569,804,0,284.50,57.43,0.00
document_part_classification_652.xml,27,0,27,0,0,1446,0,0.00,53.56,0.00
document_part_classification_653.xml,4,2,2,0,1232,216,0,616.00,108.00,0.00
document_part_classification_654.xml,23,0,23,0,0,2188,0,0.00,95.13,0.00
document_part_classification_655.xml,39,3,36,0,1753,3171,0,584.33,88.08,0.00
document_part_classification_656.xml,7,0,7,0,0,459,0,0.00,65.57,0.00
document_part_classification_66.xml,15,0,15,0,0,1104,0,0.00,73.60,0.00
document_part_classification_67.xml,28,0,0,28,0,0,2198,0.00,0.00,78.50
